,Fall_Allegheny_1,Fall_Allegheny_2,Fall_Allegheny_3,Fall_Braddock_1,Fall_Braddock_2,Fall_Braddock_3,Fall_Control_1,Fall_Control_2,Fall_Control_3,Fall_Monongahela_1,Fall_Monongahela_2,Fall_Monongahela_3,Fall_Neville_1,Fall_Neville_2,Fall_Neville_3,Fall_Sharpsburg_1,Fall_Sharpsburg_2,Fall_Sharpsburg_3,Fall_Sharpsburg_4,Spring_Braddock_1,Spring_Braddock_2,Spring_Control_1,Spring_Monongahela_1,Spring_Monongahela_2,Spring_Neville_1,Spring_Sharpsburg_1,Summer_Allegheny_1,Summer_Braddock_1,Summer_Braddock_2,Summer_Monongahela_1,Summer_Neville_1,Summer_Neville_2,Summer_Sharpsburg_1,Summer_Sharpsburg_2,Winter_Allegheny_2,Winter_Allegheny_3,Winter_Braddock_1,Winter_Braddock_2,Winter_Braddock_3,Winter_Control_2,Winter_Monongahela_1,Winter_Monongahela_2,Winter_Monongahela_3,Winter_Neville_1,Winter_Neville_2,Winter_Neville_3,Winter_Sharpsburg_1,Winter_Sharpsburg_2,Winter_Sharpsburg_3,
Fall_Allegheny_1,0,0.40888440181726404,0.4340630005339028,0.5321206539258577,0.48434765700952753,0.5032851511169514,0.699333198625985,0.8366379310344827,0.7651128914785141,0.5219981668194318,0.5497360941940723,0.5530216647662486,0.4017094017094017,0.3451903807615231,0.3730363423212192,0.44666088464874243,0.4230434782608695,0.4194296313470902,0.46045608927704995,0.9716539644337479,0.963462220645619,0.9929627023223082,0.9607502605071205,0.973323072976786,0.9528706083976006,0.9384157995328095,0.8953922789539228,0.8762762762762762,0.893956934475573,0.8811668811668811,0.8576512455516014,0.9260886935677187,0.9042831288960386,0.9111514052583862,0.9702566562724874,0.9713150926743159,0.9781659388646288,0.9602019602019602,0.9632373113854595,0.9718137254901961,0.9610274579273693,0.9622132253711201,0.9551645856980704,0.9658154859967051,0.9618064516129032,0.9647211413748379,0.9768941429339065,0.9688864628820961,0.9653621232568601,
Fall_Allegheny_2,0.40888440181726404,0,0.34008594229588707,0.5232166018158235,0.511063372717508,0.5228052967140755,0.6812373907195697,0.8227360308285163,0.7617905675459632,0.5598555211558307,0.5610635421360973,0.5683859379009495,0.3232091690544413,0.3789954337899544,0.5001323801959228,0.4035678222820599,0.3915369649805448,0.4081045751633987,0.40891579526692345,0.9719639536546989,0.9631067961165048,0.983857264231096,0.9537001897533207,0.9704473936242988,0.9406698564593301,0.9554607912816868,0.89169265664871,0.889061459951187,0.9023753589141217,0.8720651653090561,0.8866868733970623,0.9437804338202744,0.8978818283166109,0.9061070220807639,0.9549035588155392,0.9609297725024728,0.9946902654867257,0.9437304619659604,0.9486854608805828,0.9956772334293948,0.9551569506726457,0.9477774323904259,0.9387351778656127,0.9555860805860806,0.9480366105698258,0.9512919512919513,0.9901051329622759,0.9615869017632241,0.9540171803941384,
Fall_Allegheny_3,0.4340630005339028,0.34008594229588707,0,0.6136301181643309,0.6071187204325299,0.6395649922320041,0.728150765606596,0.8445121951219512,0.8028404344193818,0.6398907103825137,0.6437707247749882,0.6446617766911165,0.35797189981673794,0.4373479318734793,0.47767481044650384,0.43448275862068964,0.42505133470225875,0.4408423385979495,0.4148624926857811,0.9825830258302582,0.9773003648155655,0.990645463049579,0.9651760981400871,0.9805441985055688,0.9545913218970736,0.9545568039950062,0.9099969797644216,0.9179678396644139,0.9214384508990319,0.9120768064679131,0.9130861772649153,0.9400278940027894,0.9063012415085501,0.9172729162336313,0.9774891774891775,0.9785788923719958,0.9843444227005871,0.9722117912129178,0.9748384903094186,0.9875,0.9731643682445025,0.9733422192602466,0.9652482269503546,0.9715799614643545,0.968464206874803,0.9727070771183751,0.9787939032471835,0.9736486486486486,0.9716729021913415,
Fall_Braddock_1,0.5321206539258577,0.5232166018158235,0.6136301181643309,0,0.3196981731532963,0.37429917021753756,0.7839735646427096,0.828369733068608,0.7808727948003714,0.4263565891472868,0.4090060178460262,0.3777466105656849,0.5732368896925859,0.5824967824967825,0.6156806156806156,0.5280429594272076,0.5472957934564879,0.5658582976699953,0.5656288916562889,0.9536082474226804,0.944313867293437,0.9926873857404022,0.943726774022297,0.9516254876462938,0.9320324490243368,0.9356801390699696,0.8761514841351075,0.8633387888707038,0.8651471984805318,0.8515916575192096,0.8513918629550321,0.9118187385180649,0.8894369091656391,0.8916420118343196,0.9473165928114229,0.9534463276836158,0.9825823551684968,0.9355828220858896,0.9406444318824194,0.982895153626861,0.9365853658536585,0.9399666481378544,0.9315188762071993,0.9490419035586439,0.940552016985138,0.9434364994663821,0.9795297372060857,0.9623278043294912,0.9469923945609587,
Fall_Braddock_2,0.48434765700952753,0.511063372717508,0.6071187204325299,0.3196981731532963,0,0.34702414907777146,0.7624955689471818,0.8518657416088505,0.764591754244139,0.4455210599169468,0.39170670937889307,0.40448995667585663,0.5692571183900663,0.5483457844183565,0.6034691407825736,0.5789980732177264,0.5110523332703572,0.5521374350779065,0.5626168224299065,0.951052373959863,0.9396619807297425,0.9943422913719944,0.940784374515579,0.9465253239104829,0.9302368961014736,0.9326175490559052,0.8712829226847918,0.8639240506329113,0.8655227454110136,0.8543417366946778,0.8475319926873858,0.9010352693454993,0.8888104482880339,0.8894974226804124,0.9494035376388318,0.9517703349282297,0.9825632083696599,0.9369458128078818,0.9409866297833103,0.9777609299974729,0.9377450980392157,0.9404274670304684,0.933602086791558,0.9480987565327086,0.940893169877408,0.9432717678100264,0.9755379388448471,0.958228138627496,0.9462930531231757,
Fall_Braddock_3,0.5032851511169514,0.5228052967140755,0.6395649922320041,0.37429917021753756,0.34702414907777146,0,0.7788746298124383,0.8271656854499579,0.7728245363766049,0.4084821428571429,0.46727489091630303,0.3983559209064652,0.5490962383976551,0.5715676728334956,0.6288518603058663,0.5619580419580419,0.5229007633587786,0.5592684578911717,0.5743275129778197,0.952073732718894,0.9478623566214807,0.993238674780257,0.9410963568266939,0.9519777581195501,0.9289297658862876,0.9461139896373056,0.8736383442265795,0.8653883780082176,0.8737316798196166,0.8509836751778987,0.8569384835479256,0.9211245607184694,0.9048929062684221,0.8962884034807317,0.9481913652275379,0.9513769363166954,0.9825418994413407,0.9374102784955498,0.9446955596915714,0.9887573964497042,0.9434770196974023,0.9424234493588066,0.9318681318681319,0.9481094127111827,0.938862440491105,0.9415764291110551,0.9848879624804586,0.9656084656084656,0.9517755370451556,
Fall_Control_1,0.699333198625985,0.6812373907195697,0.728150765606596,0.7839735646427096,0.7624955689471818,0.7788746298124383,0,0.5107997664915354,0.4665331330328827,0.7100555212831585,0.743778801843318,0.7653562653562653,0.6926513290149654,0.6945001113337786,0.6280436607892528,0.6887316826680141,0.751323788978231,0.7381546134663342,0.679290196927072,0.9877162196039108,0.9850089620335669,0.9910206524992518,0.9795429119386287,0.9857762777242044,0.9752274046835688,0.9738863287250384,0.9508196721311475,0.9399344739716053,0.9456205894562059,0.9422592520829297,0.9435178165276725,0.9574931880108992,0.9473684210526316,0.9527768540073163,0.9884318766066839,0.9908566885311071,0.9963042808746535,0.9870667356440765,0.987934362934363,0.9968110550093011,0.9902213072568193,0.9866793529971456,0.9816057668406661,0.98468720821662,0.9853680841335163,0.9880569591180524,0.9924188580904999,0.9899111217871727,0.9858442871587462,
Fall_Control_2,0.8366379310344827,0.8227360308285163,0.8445121951219512,0.828369733068608,0.8518657416088505,0.8271656854499579,0.5107997664915354,0,0.5406546990496304,0.7663592446201142,0.8256450351837373,0.8212021857923497,0.8104606525911708,0.8330942132950742,0.817283950617284,0.8037818580432996,0.8505219206680584,0.8503220075505219,0.8000927643784786,0.9898291824227409,0.9914207275223061,0.9934036939313984,0.9889038332212509,0.9882308751721548,0.9855907780979827,0.9848948765054093,0.9481569560047562,0.9517839922854388,0.9467731204258151,0.9447650453421269,0.9500704650694585,0.9668976135488837,0.9542901413906644,0.9628396143733567,0.9926588667125488,0.9949174078780177,0.9959155888359428,0.9921281979195952,0.9926988265971317,0.9924724956572091,0.9927313391109869,0.9912708600770218,0.9859989229940764,0.990487514863258,0.9911439114391144,0.992583436341162,0.9948875255623721,0.9948105864037364,0.9879206212251941,
Fall_Control_3,0.7651128914785141,0.7617905675459632,0.8028404344193818,0.7808727948003714,0.764591754244139,0.7728245363766049,0.4665331330328827,0.5406546990496304,0,0.7147613762486127,0.7131367292225201,0.732448866777225,0.7705179282868526,0.7556615017878426,0.7693612210288299,0.7724950011108642,0.7834101382488479,0.8184873949579832,0.7583268783888458,0.9880295739936628,0.98562874251497,0.9948506694129763,0.9811764705882353,0.9861975336576536,0.978984238178634,0.9680055642496957,0.9386988333003757,0.9277786980288223,0.9343406080955046,0.9256661991584852,0.9298848599415708,0.9603174603174603,0.942809642560266,0.9435717553759341,0.9904049126847054,0.9924650161463939,0.9968337730870712,0.9895667951916535,0.9901856197994453,0.9972131908964236,0.9900654775344322,0.9890457130819464,0.9846692947875603,0.9867751780264497,0.987797437461867,0.9901980804574229,0.9932829554995802,0.9919252018699533,0.9879737609329446,
Fall_Monongahela_1,0.5219981668194318,0.5598555211558307,0.6398907103825137,0.4263565891472868,0.4455210599169468,0.4084821428571429,0.7100555212831585,0.7663592446201142,0.7147613762486127,0,0.3078512396694215,0.27936729471970223,0.5734840698869477,0.5760368663594471,0.5534816941852118,0.5630002964719834,0.5857332742578645,0.6049207475751124,0.6025768087215064,0.9818747463817125,0.9816282420749279,0.9927431059506531,0.9830747531734838,0.9826222279859941,0.9790484504583151,0.9766385463984426,0.9114278442351743,0.8924424526380118,0.9088117174580675,0.8894230769230769,0.8870176934555531,0.947560975609756,0.936975649682832,0.9303739178485909,0.9838354151359294,0.9847053531264057,0.9917355371900827,0.9780554708930205,0.979769598201742,0.9962240402769037,0.9787943047561345,0.9784470848300636,0.9790575916230366,0.9840670859538784,0.9831089997360781,0.9803661448660123,0.9911991199119912,0.9843487982112912,0.9788990825688073,
